N_stages,St_len_min,K_nb_max,N_cl_max,Cl_cen,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,St_edges
3,25,7,10,mean,5042.5189555117995,10.773344614807478,0.04941783596962825,8.842342132656034,4.787670840890279,"[0, 111, 321, 357]"
4,25,7,15,mode,3717.0020447817637,9.794726979271488,0.05375497251103723,6.6525159615759,5.510050918404677,"[0, 44, 141, 323, 357]"
5,25,7,15,mode,4147.309796689653,13.064216072240374,0.1029799049879138,7.8557469919060585,3.9030114760940076,"[0, 44, 141, 164, 323, 357]"
6,25,7,15,mode,3864.7418174959266,13.593122269039153,0.08942894346197534,7.255724871796377,3.690592841259787,"[0, 44, 115, 141, 164, 323, 357]"
7,25,7,15,mode,3357.5544017462576,12.80391178263992,0.0781082812346217,6.3221998102229895,4.1296865927569275,"[0, 44, 115, 141, 164, 276, 323, 357]"
8,25,7,15,mode,3069.8119320284304,12.32435711223602,0.06865098200227973,5.720799024419094,4.439095186830735,"[0, 44, 115, 141, 164, 204, 276, 323, 357]"
9,25,7,15,mode,3814.322069453168,15.442342253331258,0.09614348670132243,6.179506386165449,3.7900526783997153,"[0, 30, 44, 115, 141, 164, 204, 276, 323, 357]"
10,25,7,10,med,7535.801275964215,32.638225437885744,0.18687262418769265,15.243098508892153,2.841495674200159,"[0, 30, 41, 44, 115, 141, 164, 170, 290, 323, 357]"
11,25,7,10,med,6747.986736881932,30.720914020825592,0.1707881699189395,13.661706340309982,2.671649991184274,"[0, 30, 41, 44, 115, 141, 164, 170, 286, 295, 323, 357]"
12,25,7,15,med,6427.702541253769,28.944962565156914,0.16125765710029455,13.02640044924217,2.907486684918403,"[0, 30, 41, 44, 115, 141, 164, 170, 204, 276, 290, 323, 357]"
13,25,9,10,med,5979.171382689099,27.996729941477984,0.16213774349238702,12.207103638080556,3.052628394339901,"[0, 30, 41, 44, 89, 115, 141, 157, 164, 170, 204, 286, 323, 357]"
